
 Lista de Imóveis da Caixa;;Data de geração:;19/05/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444427684200 ;GO ;AGUAS LINDAS DE GOIAS ;CIDADE JARDIM ;RUA 1, N. SN, Apto 202, QD 104, LT 27 ;72.149,64;170.000,00;57.56;Não;Apartamento, 0.00 de área total, 53.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427684200
 8444417015306 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES OLINDA ;RUA 21, N. SN, Apto 2, LT 06 QD A13 ;66.207,91;156.000,00;57.56;Não;Apartamento, 0.00 de área total, 50.14 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417015306
 8444427729999 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 65, N. SN, LT 2A-3 RUA 15 ;66.632,32;157.000,00;57.56;Não;Casa, 0.00 de área total, 56.20 de área privativa, 312.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427729999
 8444429661305 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QUADRA 106, N. SN, LT 08, RUA ANGICO ;66.632,32;157.000,00;57.56;Não;Casa, 0.00 de área total, 67.92 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429661305
 8444429239417 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 07 ;RUA 26, N. SN, CS 01, 19A-2, QD 61, SETOR 07 ;151.733,92;355.000,00;57.26;Não;Casa, 0.00 de área total, 61.74 de área privativa, 146.97 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429239417
 1444419861826 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 06 ;QUADRA 3, N. SN, Apto 105, LT 03 CJ B AVENIDA PERIMETRAL ;108.991,97;255.000,00;57.26;Não;Apartamento, 0.00 de área total, 96.28 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419861826
 8787700354887 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;RUA 12 A, N. SN, Apto 206, BL B VG 24 LT 02A QD 79 CONJ A SETOR 1 ;58.013,18;133.500,00;56.55;Não;Apartamento, 0.00 de área total, 53.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700354887
 8444429748010 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA I ;RUA 17, N. S/N, QD.20 LT.23 ;50.279,66;115.000,00;56.28;Não;Casa, 0.00 de área total, 50.66 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429748010
 8444422629228 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 98 - CONJUNTO A, N. SN, Apto 102, LT 27 BL C AVENIDA 01 ;52.028,52;119.000,00;56.28;Não;Apartamento, 0.00 de área total, 48.84 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422629228
 8444418314676 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA SUCUPIRA, N. SN, Apto 102, LT 11, QD 38 ;50.279,66;115.000,00;56.28;Não;Apartamento, 0.00 de área total, 52.82 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418314676
 8444402262280 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;QUADRA 80, N. SN, CS D, LT 04, CJ A, SETOR 12 ;40.200,36;91.000,00;55.83;Não;Casa, 0.00 de área total, 134.94 de área privativa, 208.33 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402262280
