
 Lista de Imóveis da Caixa;;Data de geração:;19/05/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8787713545678 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QUADRA QN 407, N. SN, Apto 13, BL A LT 01 CJ E ;213.000,00;213.000,00;0.00;Não;Apartamento, 78.83 de área total, 47.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713545678
 8787715871009 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QUADRA QN 407, N. SN, Apto 315, BL A LT 1 CJT E ;195.000,00;195.000,00;0.00;Não;Apartamento, 50.53 de área total, 33.24 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715871009
 1555504514231 ;DF ;SAMAMBAIA ;SAMAMBAIA ;QUADRA QS 303, N. 303, Apto 508, BL A VG 87 ;230.000,00;230.000,00;0.00;Não;Apartamento, 71.07 de área total, 44.45 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555504514231
 8444420214594 ;DF ;SAMAMBAIA ;SAMAMBAIA ;QR 108, N. SN, Apto 1204, LT 1 CJT 6 ;240.000,00;240.000,00;0.00;Não;Apartamento, 97.36 de área total, 52.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420214594
 8555526095620 ;DF ;SAMAMBAIA ;SAMAMBAIA ;QUADRA QR 410 CONJUNTO 15-A, N. SN, Apto 205, LT 01 ;266.000,00;266.000,00;0.00;Não;Apartamento, 86.85 de área total, 46.76 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555526095620
 1444414895544 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QD QR 408LT 2, N. SN, Apto 210, CJ 24A ;156.034,60;154.000,00;0.00;Não;Apartamento, 42.89 de área total, 30.14 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414895544
 1444419090412 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QUADRA QN 408, N. SN, Apto 703, LT 01 CJ F ;218.393,13;212.000,00;0.00;Não;Apartamento, 56.75 de área total, 30.38 de área privativa, 0.00 de área do terreno,  1 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419090412
 8444414415699 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QUADRA 311, N. SN, LT 25 CONJ 07 ;260.924,58;247.500,00;0.00;Não;Casa, 105.00 de área total, 62.50 de área privativa, 126.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414415699
 8444420381415 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QUADRA QN 312, N. SN, Apto 101, LT 02 CJ 05 ;222.855,85;207.000,00;0.00;Não;Apartamento, 82.19 de área total, 47.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420381415
 1444418618502 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QR 512, N. SN, LT 07 CJ 03 ;347.392,70;315.000,00;0.00;Não;Casa, 93.00 de área total, 93.00 de área privativa, 105.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418618502
 8787706972086 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QS 608 CJ C LT 1 2, N. SN, Apto 103, ;199.708,34;180.000,00;0.00;Não;Apartamento, 80.05 de área total, 50.15 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706972086
 8787710329770 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 321, N. SN, Apto 105, LT 01 CONJ B VG 99 ;203.808,38;182.000,00;0.00;Não;Apartamento, 81.39 de área total, 44.23 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710329770
 1444417596998 ;DF ;SOBRADINHO ;GRANDE COLORADO ;RODOVIA DF-150, N. SN, LT 28 CJ P ;1.035.000,00;1.035.000,00;0.00;Não;Casa, 354.96 de área total, 354.96 de área privativa, 426.84 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), DCE, cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417596998
 8444428937595 ;DF ;TAGUATINGA ;TAGUATINGA NORTE ;AREA ESPECIAL, N. SN, Apto 1007, BL C LT 2 E 4 SUBCOND 3 ;164.709,91;269.000,00;38.77;Não;Apartamento, 86.85 de área total, 48.57 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428937595
 1555534368217 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QI 24, N. SN, Apto 903, TORRE D LT 1 A 13 QD QI 24 VG 935 ;203.940,58;320.000,00;36.27;Não;Apartamento, 84.70 de área total, 50.46 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555534368217
 8555536188478 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QUADRA QI 3, N. SN, Apto 804, LT 11 A 13, QD QI 3, V. GARAGEM 24 ;215.421,88;338.015,13;36.27;Não;Apartamento, 86.38 de área total, 52.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536188478
 1444405594006 ;DF ;TAGUATINGA ;TAGUATINGA NORTE ;QNB 15, N. SN, LT14 ;522.597,73;820.000,00;36.27;Sim;Casa, 0.00 de área total, 350.00 de área privativa, 350.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405594006
 1787701505732 ;DF ;TAGUATINGA ;NORTE (AGUAS CLARAS) ;RUA DAS CARNAUBAS, N. SN, Apto 1504, BL 1 LT 12 VG 476 477 E 478 ;1.068.776,08;1.677.000,00;36.27;Sim;Apartamento, 329.90 de área total, 185.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701505732
